ID,brand,name,category,description,ingredients,price_rsd,shade
1354,Armani,Supreme Bronzer,bronzer,Supreme Bronzer by Armani — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, cyclopentasiloxane, octyldodecanol, ethylhexylglycerin, fragrance (parfum), phenoxyethanol, dimethicone, aloe barbadensis leaf juice",8774,Buff
1355,Tom Ford,Glow Bronzer,bronzer,Glow Bronzer by Tom Ford — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"cyclopentasiloxane, titanium dioxide, ethylhexylglycerin, octyldodecanol, hyaluronic acid, butyrospermum parkii (shea) butter, iron oxides, kaolin, aloe barbadensis leaf juice",8256,Bronze
1356,Charlotte Tilbury,Weightless Bronzer - Alternative 208,bronzer,Weightless Bronzer by Charlotte Tilbury — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"iron oxides, butyrospermum parkii (shea) butter, squalane, dimethicone, phenoxyethanol, mica",13888,Caramel
1357,Givenchy,Velvety Bronzer - Collection,bronzer,Velvety Bronzer - Collection by Givenchy — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"caprylic/capric triglyceride, kaempferia extract, fragrance (parfum), kaolin, glycerin, squalane, iron oxides",35090,Buff
1358,Valentino Beauty,Velvety Bronzer,bronzer,Velvety Bronzer by Valentino Beauty — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"cetearyl alcohol, caprylic/capric triglyceride, dimethicone, ethylhexylglycerin",15304,Shell
1359,Estée Lauder,Luminous Bronzer - No. 44,bronzer,Luminous Bronzer - No. 44 by Estée Lauder — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"glycerin, kaolin, camellia sinensis leaf extract, caprylic/capric triglyceride",20684,Sand
1360,Dolce & Gabbana,Velvet Bronzer - No. 42,bronzer,Velvet Bronzer - No. 42 by Dolce & Gabbana — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"iron oxides, caprylic/capric triglyceride, kaolin, talc, squalane, titanium dioxide, camellia sinensis leaf extract, cyclopentasiloxane, cetearyl alcohol, ethylhexylglycerin",58029,Warm Sand
1361,Dolce & Gabbana,Supreme Bronzer - Edition,bronzer,Supreme Bronzer - Edition by Dolce & Gabbana — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"fragrance (parfum), hyaluronic acid, kaempferia extract, ethylhexylglycerin, camellia sinensis leaf extract, iron oxides, silica",6801,Champagne
1362,Clé de Peau,Velvet Bronzer - Alternative 209,bronzer,Velvet Bronzer by Clé de Peau — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"camellia sinensis leaf extract, phenoxyethanol, squalane, talc, butyrospermum parkii (shea) butter, cetearyl alcohol, glycerin, dimethicone, fragrance (parfum)",7282,Beige
1363,Shiseido,Radiant Bronzer - Signature,bronzer,Radiant Bronzer - Signature by Shiseido — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, mica, fragrance (parfum), phenoxyethanol, kaempferia extract, iron oxides, kaolin, glycerin, talc",9690,Honey
1364,Sisley Paris,Pure Bronzer - Signature,bronzer,Pure Bronzer - Signature by Sisley Paris — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"iron oxides, glycerin, squalane, dimethicone",31042,Toffee
1365,Armani,Velvety Bronzer - Exclusive,bronzer,Velvety Bronzer - Exclusive by Armani — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"hyaluronic acid, talc, mica, kaolin, caprylic/capric triglyceride, kaempferia extract",6286,Honey
1366,Laura Mercier,Infused Bronzer - Exclusive,bronzer,Infused Bronzer - Exclusive by Laura Mercier — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, fragrance (parfum), butyrospermum parkii (shea) butter, camellia sinensis leaf extract",12811,Champagne
1367,Armani,Infused Bronzer - Exclusive,bronzer,Infused Bronzer - Exclusive by Armani — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, dimethicone, silica, cetearyl alcohol, iron oxides, cyclopentasiloxane, glycerin",5439,Warm Sand
1368,Dolce & Gabbana,Silk Bronzer - No. 58,bronzer,Silk Bronzer - No. 58 by Dolce & Gabbana — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, mica, hyaluronic acid, titanium dioxide",25395,Porcelain
1369,Marc Jacobs,Matte Bronzer - Alternative 210,bronzer,Matte Bronzer by Marc Jacobs — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"hyaluronic acid, caprylic/capric triglyceride, camellia sinensis leaf extract, fragrance (parfum), iron oxides, dimethicone, mica",9639,Brick
1370,Pat McGrath,Supreme Bronzer - Exclusive,bronzer,Supreme Bronzer - Exclusive by Pat McGrath — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"aloe barbadensis leaf juice, squalane, fragrance (parfum), octyldodecanol",48931,Warm Sand
1371,Tom Ford,Longwear Bronzer - Exclusive,bronzer,Longwear Bronzer - Exclusive by Tom Ford — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, dimethicone, phenoxyethanol, kaempferia extract, iron oxides, kaolin, talc",5693,Petal
1372,By Terry,Perfect Bronzer - No. 80,bronzer,Perfect Bronzer - No. 80 by By Terry — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"aloe barbadensis leaf juice, cetearyl alcohol, silica, iron oxides, caprylic/capric triglyceride, phenoxyethanol, cyclopentasiloxane",47605,Petal
1373,Hourglass,Glow Bronzer - Signature,bronzer,Glow Bronzer - Signature by Hourglass — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, camellia sinensis leaf extract, glycerin, cyclopentasiloxane, dimethicone",44969,Gold
1374,Dolce & Gabbana,Velvety Bronzer - Alternative 211,bronzer,Velvety Bronzer by Dolce & Gabbana — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, glycerin, butyrospermum parkii (shea) butter, octyldodecanol, silica, talc, titanium dioxide",7857,Deep Cocoa
1375,Dolce & Gabbana,Ultra Bronzer - Alternative 212,bronzer,Ultra Bronzer by Dolce & Gabbana — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, phenoxyethanol, butyrospermum parkii (shea) butter, camellia sinensis leaf extract, kaempferia extract, fragrance (parfum)",16787,Caramel
1376,La Mer,Infused Bronzer - Edition,bronzer,Infused Bronzer - Edition by La Mer — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"dimethicone, titanium dioxide, kaempferia extract, cetearyl alcohol, aloe barbadensis leaf juice",6813,Petal
1377,Guerlain,Luxury Bronzer - Signature,bronzer,Luxury Bronzer - Signature by Guerlain — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"butyrospermum parkii (shea) butter, cetearyl alcohol, kaolin, dimethicone",7297,Brick
1378,Chanel,Luxury Bronzer,bronzer,Luxury Bronzer by Chanel — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"dimethicone, fragrance (parfum), hyaluronic acid, ethylhexylglycerin, cyclopentasiloxane, talc, titanium dioxide, camellia sinensis leaf extract, octyldodecanol",21633,Rose
1379,Shiseido,Intense Bronzer - Alternative 213,bronzer,Intense Bronzer by Shiseido — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, ethylhexylglycerin, cetearyl alcohol, camellia sinensis leaf extract, hyaluronic acid",10051,Peach
1380,Laura Mercier,Silk Bronzer - Alternative 214,bronzer,Silk Bronzer by Laura Mercier — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"butyrospermum parkii (shea) butter, mica, phenoxyethanol, aloe barbadensis leaf juice, hyaluronic acid, octyldodecanol, silica",7700,Bronze
1381,Dior,Pure Bronzer,bronzer,Pure Bronzer by Dior — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, cyclopentasiloxane, dimethicone, caprylic/capric triglyceride, cetearyl alcohol, titanium dioxide, aloe barbadensis leaf juice",19473,Sand
1382,Charlotte Tilbury,Pure Bronzer,bronzer,Pure Bronzer by Charlotte Tilbury — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, silica, squalane, cetearyl alcohol, phenoxyethanol, talc, kaolin, iron oxides",6700,Shell
1383,Estée Lauder,Weightless Bronzer - No. 6,bronzer,Weightless Bronzer - No. 6 by Estée Lauder — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, kaolin, iron oxides, butyrospermum parkii (shea) butter, glycerin, aloe barbadensis leaf juice",7004,Buff
1384,Charlotte Tilbury,Sheer Bronzer - Alternative 215,bronzer,Sheer Bronzer by Charlotte Tilbury — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, talc, kaempferia extract, caprylic/capric triglyceride, phenoxyethanol, aloe barbadensis leaf juice, kaolin",30736,Shell
1385,Clé de Peau,Radiant Bronzer - Alternative 216,bronzer,Radiant Bronzer by Clé de Peau — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"iron oxides, cyclopentasiloxane, phenoxyethanol, squalane, butyrospermum parkii (shea) butter, kaolin",19738,Espresso
1386,Chanel,Supreme Bronzer - Alternative 217,bronzer,Supreme Bronzer by Chanel — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"camellia sinensis leaf extract, phenoxyethanol, kaempferia extract, cetearyl alcohol, silica, mica, ethylhexylglycerin, butyrospermum parkii (shea) butter",23600,Toffee
1387,Pat McGrath,Satin Bronzer,bronzer,Satin Bronzer by Pat McGrath — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"fragrance (parfum), caprylic/capric triglyceride, iron oxides, kaempferia extract, butyrospermum parkii (shea) butter, mica, cyclopentasiloxane, ethylhexylglycerin",23247,Warm Sand
1388,Sisley Paris,Velvety Bronzer - Edition,bronzer,Velvety Bronzer - Edition by Sisley Paris — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, butyrospermum parkii (shea) butter, ethylhexylglycerin, cetearyl alcohol, aloe barbadensis leaf juice, iron oxides, kaolin, phenoxyethanol, glycerin, camellia sinensis leaf extract",36762,Ivory
1389,Hourglass,Intense Bronzer - Signature,bronzer,Intense Bronzer - Signature by Hourglass — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"octyldodecanol, iron oxides, talc, ethylhexylglycerin",28739,Ivory
1390,Sisley,Glow Bronzer - Alternative 218,bronzer,Glow Bronzer by Sisley — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, glycerin, kaempferia extract, phenoxyethanol, mica, cyclopentasiloxane, butyrospermum parkii (shea) butter",32535,Crimson
1391,Marc Jacobs,Supreme Bronzer - No. 31,bronzer,Supreme Bronzer - No. 31 by Marc Jacobs — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"octyldodecanol, titanium dioxide, butyrospermum parkii (shea) butter, silica, cyclopentasiloxane, phenoxyethanol, aloe barbadensis leaf juice, dimethicone",4198,Crimson
1392,Lancôme,Radiant Bronzer - Collection,bronzer,Radiant Bronzer - Collection by Lancôme — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"aloe barbadensis leaf juice, dimethicone, cyclopentasiloxane, kaolin, mica",23429,Sand
1393,Bobbi Brown,Hydra Bronzer - Alternative 219,bronzer,Hydra Bronzer by Bobbi Brown — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, mica, silica, octyldodecanol, titanium dioxide, butyrospermum parkii (shea) butter",37886,Espresso
1394,Clé de Peau,Matte Bronzer,bronzer,Matte Bronzer by Clé de Peau — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"fragrance (parfum), octyldodecanol, phenoxyethanol, caprylic/capric triglyceride, titanium dioxide, kaolin, dimethicone, camellia sinensis leaf extract, iron oxides, squalane",43946,Peach
1395,Hourglass,Radiant Bronzer - Edition,bronzer,Radiant Bronzer - Edition by Hourglass — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, aloe barbadensis leaf juice, squalane, octyldodecanol, glycerin, mica",8848,Porcelain
1396,Hourglass,Intense Bronzer - Alternative 220,bronzer,Intense Bronzer by Hourglass — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"aloe barbadensis leaf juice, fragrance (parfum), phenoxyethanol, mica",6065,Ivory
1397,Valentino Beauty,Velvet Bronzer,bronzer,Velvet Bronzer by Valentino Beauty — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, octyldodecanol, butyrospermum parkii (shea) butter, mica",18787,Toffee
1398,Marc Jacobs,Weightless Bronzer,bronzer,Weightless Bronzer by Marc Jacobs — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"fragrance (parfum), glycerin, cyclopentasiloxane, octyldodecanol, hyaluronic acid",4779,Coral
1399,Valentino Beauty,Sheer Bronzer - Signature,bronzer,Sheer Bronzer - Signature by Valentino Beauty — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"cyclopentasiloxane, octyldodecanol, hyaluronic acid, butyrospermum parkii (shea) butter, titanium dioxide, aloe barbadensis leaf juice, kaolin, ethylhexylglycerin, fragrance (parfum), phenoxyethanol",8708,Champagne
1400,Laura Mercier,Perfect Bronzer,bronzer,Perfect Bronzer by Laura Mercier — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"aloe barbadensis leaf juice, butyrospermum parkii (shea) butter, mica, dimethicone, hyaluronic acid, cetearyl alcohol, caprylic/capric triglyceride, octyldodecanol",21390,Coral
1401,Marc Jacobs,Luminous Bronzer - No. 44,bronzer,Luminous Bronzer - No. 44 by Marc Jacobs — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"camellia sinensis leaf extract, octyldodecanol, cetearyl alcohol, fragrance (parfum), squalane, hyaluronic acid, mica, iron oxides, titanium dioxide, ethylhexylglycerin",18671,Brick
1402,Marc Jacobs,Ultra Bronzer,bronzer,Ultra Bronzer by Marc Jacobs — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, cetearyl alcohol, camellia sinensis leaf extract, caprylic/capric triglyceride, mica, octyldodecanol, kaolin, butyrospermum parkii (shea) butter, fragrance (parfum)",8325,Rose
1403,Valentino Beauty,Silk Bronzer - Exclusive,bronzer,Silk Bronzer - Exclusive by Valentino Beauty — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, iron oxides, dimethicone, squalane, cyclopentasiloxane, octyldodecanol",5212,Mocha
1404,Sisley,Longwear Bronzer,bronzer,Longwear Bronzer by Sisley — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, talc, cyclopentasiloxane, glycerin",6969,Almond
1405,La Mer,Velvet Bronzer,bronzer,Velvet Bronzer by La Mer — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, caprylic/capric triglyceride, fragrance (parfum), butyrospermum parkii (shea) butter, cyclopentasiloxane",6037,Fuchsia
1406,Hourglass,Radiant Bronzer - Collection - Alternative 221,bronzer,Radiant Bronzer - Collection by Hourglass — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, mica, cetearyl alcohol, phenoxyethanol, dimethicone, ethylhexylglycerin, glycerin, talc",10476,Porcelain
1407,Dolce & Gabbana,Radiant Bronzer - Alternative 222,bronzer,Radiant Bronzer by Dolce & Gabbana — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, talc, cetearyl alcohol, dimethicone, caprylic/capric triglyceride, kaempferia extract, camellia sinensis leaf extract, kaolin",10788,Deep Cocoa
1408,Givenchy,Supreme Bronzer,bronzer,Supreme Bronzer by Givenchy — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"octyldodecanol, dimethicone, silica, camellia sinensis leaf extract, aloe barbadensis leaf juice, kaolin",19704,Topaz
1409,Laura Mercier,Velvety Bronzer,bronzer,Velvety Bronzer by Laura Mercier — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"caprylic/capric triglyceride, aloe barbadensis leaf juice, dimethicone, butyrospermum parkii (shea) butter, octyldodecanol, cyclopentasiloxane, fragrance (parfum)",7704,Espresso
1410,Estée Lauder,Intense Bronzer - Exclusive,bronzer,Intense Bronzer - Exclusive by Estée Lauder — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, fragrance (parfum), phenoxyethanol, ethylhexylglycerin, cyclopentasiloxane, talc, iron oxides, cetearyl alcohol, caprylic/capric triglyceride",23672,Rose
1411,Hourglass,Luminous Bronzer - Signature,bronzer,Luminous Bronzer - Signature by Hourglass — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"phenoxyethanol, octyldodecanol, iron oxides, silica, kaempferia extract, cetearyl alcohol, titanium dioxide",50566,Fuchsia
1412,Tom Ford,Sheer Bronzer - Alternative 223,bronzer,Sheer Bronzer by Tom Ford — premium bronzer formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"aloe barbadensis leaf juice, glycerin, squalane, camellia sinensis leaf extract, caprylic/capric triglyceride",10224,Caramel
1413,Marc Jacobs,Supreme Brow Product - Exclusive,brow product,Supreme Brow Product - Exclusive by Marc Jacobs — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"glycerin, butyrospermum parkii (shea) butter, cyclopentasiloxane, phenoxyethanol, caprylic/capric triglyceride, talc, titanium dioxide, ethylhexylglycerin, dimethicone, kaolin",26671,Bronze
1414,Lancôme,Weightless Brow Product,brow product,Weightless Brow Product by Lancôme — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"fragrance (parfum), camellia sinensis leaf extract, caprylic/capric triglyceride, octyldodecanol",25022,Mocha
1415,Yves Saint Laurent,Pure Brow Product,brow product,Pure Brow Product by Yves Saint Laurent — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"butyrospermum parkii (shea) butter, mica, glycerin, fragrance (parfum), cyclopentasiloxane, titanium dioxide, kaolin",14836,Porcelain
1416,Tom Ford,Infused Brow Product,brow product,Infused Brow Product by Tom Ford — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, octyldodecanol, talc, squalane, iron oxides, silica, phenoxyethanol, dimethicone",27277,Honey
1417,Hermès Beauty,Glow Brow Product,brow product,Glow Brow Product by Hermès Beauty — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"hyaluronic acid, cyclopentasiloxane, ethylhexylglycerin, kaolin, glycerin, fragrance (parfum)",42217,Petal
1418,Guerlain,Glow Brow Product - No. 1,brow product,Glow Brow Product - No. 1 by Guerlain — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, iron oxides, caprylic/capric triglyceride, dimethicone, cetearyl alcohol, aloe barbadensis leaf juice",21153,Caramel
1419,Dolce & Gabbana,Supreme Brow Product,brow product,Supreme Brow Product by Dolce & Gabbana — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, cetearyl alcohol, iron oxides, dimethicone, hyaluronic acid, butyrospermum parkii (shea) butter, mica",9497,Mocha
1420,NARS,Satin Brow Product,brow product,Satin Brow Product by NARS — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, talc, kaolin, fragrance (parfum), camellia sinensis leaf extract, kaempferia extract, butyrospermum parkii (shea) butter, phenoxyethanol, aloe barbadensis leaf juice, titanium dioxide",8481,Mocha
1421,Clé de Peau,Silk Brow Product,brow product,Silk Brow Product by Clé de Peau — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, butyrospermum parkii (shea) butter, cyclopentasiloxane, fragrance (parfum), aloe barbadensis leaf juice, kaolin, titanium dioxide, cetearyl alcohol",32381,Nude
1422,Marc Jacobs,Velvety Brow Product - Exclusive,brow product,Velvety Brow Product - Exclusive by Marc Jacobs — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"phenoxyethanol, squalane, talc, cetearyl alcohol, camellia sinensis leaf extract",5255,Toffee
1423,Estée Lauder,Luminous Brow Product - Exclusive,brow product,Luminous Brow Product - Exclusive by Estée Lauder — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"cyclopentasiloxane, octyldodecanol, fragrance (parfum), dimethicone, kaolin, butyrospermum parkii (shea) butter, hyaluronic acid",44208,Nude
1424,Sisley,Weightless Brow Product - No. 68,brow product,Weightless Brow Product - No. 68 by Sisley — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"hyaluronic acid, butyrospermum parkii (shea) butter, phenoxyethanol, kaempferia extract, mica, silica, aloe barbadensis leaf juice, kaolin, camellia sinensis leaf extract, octyldodecanol",22463,Nude
1425,Pat McGrath,Luxury Brow Product - Signature,brow product,Luxury Brow Product - Signature by Pat McGrath — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"iron oxides, phenoxyethanol, dimethicone, glycerin, squalane, cetearyl alcohol, kaolin, talc",5221,Deep Cocoa
1426,Marc Jacobs,Weightless Brow Product - Exclusive,brow product,Weightless Brow Product - Exclusive by Marc Jacobs — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, mica, glycerin, caprylic/capric triglyceride, iron oxides, ethylhexylglycerin, phenoxyethanol",30865,Porcelain
1427,Hermès Beauty,Luxury Brow Product,brow product,Luxury Brow Product by Hermès Beauty — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"ethylhexylglycerin, mica, talc, glycerin, caprylic/capric triglyceride, squalane, camellia sinensis leaf extract",45511,Ivory
1428,NARS,Glow Brow Product - Exclusive,brow product,Glow Brow Product - Exclusive by NARS — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"camellia sinensis leaf extract, cyclopentasiloxane, glycerin, mica, phenoxyethanol",17056,Shell
1429,Hermès Beauty,Creamy Brow Product - Collection,brow product,Creamy Brow Product - Collection by Hermès Beauty — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"glycerin, kaempferia extract, dimethicone, kaolin, fragrance (parfum), caprylic/capric triglyceride, camellia sinensis leaf extract, phenoxyethanol",6341,Caramel
1430,NARS,Ultra Brow Product - Exclusive,brow product,Ultra Brow Product - Exclusive by NARS — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"hyaluronic acid, mica, silica, kaempferia extract, aloe barbadensis leaf juice, phenoxyethanol, cyclopentasiloxane, caprylic/capric triglyceride, cetearyl alcohol, ethylhexylglycerin",16320,Warm Sand
1431,Yves Saint Laurent,Pure Brow Product - Alternative 224,brow product,Pure Brow Product by Yves Saint Laurent — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, dimethicone, fragrance (parfum), octyldodecanol, cetearyl alcohol, aloe barbadensis leaf juice, iron oxides, camellia sinensis leaf extract",37015,Fuchsia
1432,Givenchy,Ultra Brow Product,brow product,Ultra Brow Product by Givenchy — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"iron oxides, fragrance (parfum), titanium dioxide, phenoxyethanol, camellia sinensis leaf extract, mica, kaempferia extract, butyrospermum parkii (shea) butter, silica, kaolin",8368,Deep Cocoa
1433,Marc Jacobs,Glow Brow Product - Signature,brow product,Glow Brow Product - Signature by Marc Jacobs — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"mica, ethylhexylglycerin, butyrospermum parkii (shea) butter, dimethicone, hyaluronic acid",11287,Porcelain
1434,Laura Mercier,Velvety Brow Product,brow product,Velvety Brow Product by Laura Mercier — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, squalane, iron oxides, butyrospermum parkii (shea) butter, hyaluronic acid, cyclopentasiloxane, cetearyl alcohol",21273,Mocha
1435,By Terry,Luxury Brow Product - Signature,brow product,Luxury Brow Product - Signature by By Terry — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, hyaluronic acid, ethylhexylglycerin, squalane, fragrance (parfum), camellia sinensis leaf extract",28803,Sand
1436,Clé de Peau,Supreme Brow Product,brow product,Supreme Brow Product by Clé de Peau — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"dimethicone, caprylic/capric triglyceride, mica, ethylhexylglycerin, butyrospermum parkii (shea) butter, squalane, kaempferia extract, titanium dioxide",4638,Sand
1437,Dior,Creamy Brow Product,brow product,Creamy Brow Product by Dior — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"dimethicone, iron oxides, butyrospermum parkii (shea) butter, ethylhexylglycerin, camellia sinensis leaf extract, cyclopentasiloxane, phenoxyethanol, caprylic/capric triglyceride, silica, glycerin",55791,Almond
1438,Bobbi Brown,Longwear Brow Product - Collection,brow product,Longwear Brow Product - Collection by Bobbi Brown — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, silica, caprylic/capric triglyceride, phenoxyethanol, glycerin",6904,Peach
1439,Dolce & Gabbana,Intense Brow Product,brow product,Intense Brow Product by Dolce & Gabbana — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"dimethicone, octyldodecanol, ethylhexylglycerin, cetearyl alcohol, glycerin, mica, iron oxides",13798,Deep Cocoa
1440,Dolce & Gabbana,Satin Brow Product,brow product,Satin Brow Product by Dolce & Gabbana — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"butyrospermum parkii (shea) butter, iron oxides, cetearyl alcohol, fragrance (parfum), caprylic/capric triglyceride",32284,Gold
1441,Bobbi Brown,Hydra Brow Product - Exclusive,brow product,Hydra Brow Product - Exclusive by Bobbi Brown — premium brow product formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"caprylic/capric triglyceride, glycerin, mica, kaempferia extract, dimethicone, kaolin, talc, squalane, hyaluronic acid",6077,Caramel
